timestamp,temperature,pressure,vibration,rpm
18:56:27,47,39,0.48,1526
18:56:32,30,22,0.44,1987
18:56:37,33,28,0.11,1986
18:56:42,42,28,0.43,1662
18:56:47,39,33,0.44,1683
18:56:52,49,28,0.25,1818
18:56:57,63,26,0.48,1519
18:57:02,59,25,0.4,1803
18:57:07,40,32,0.24,1759
18:57:12,64,27,0.12,1579
18:57:17,54,36,0.48,1598
18:57:22,35,40,0.32,1565
18:57:27,62,38,0.35,1939
18:57:32,68,32,0.49,1579
18:57:37,30,31,0.16,1974
18:57:42,64,36,0.36,1673
18:57:47,40,29,0.28,1765
18:57:52,59,36,0.46,1634
18:57:57,46,27,0.33,1413
18:58:02,55,24,0.22,1830
18:58:07,47,33,0.19,1173
18:58:12,32,30,0.14,1894
18:58:17,51,30,0.29,1623
18:58:22,64,23,0.47,1232
18:58:27,39,31,0.17,1143
18:58:32,57,38,0.13,1931
18:58:37,65,39,0.26,1953
18:58:42,31,23,0.34,1605
18:58:47,49,36,0.28,1072
18:58:52,64,25,0.2,1626
18:58:57,70,29,0.29,1882
18:59:02,30,33,0.44,1771
18:59:07,50,24,0.49,1369
18:59:12,43,34,0.42,1220
18:59:17,52,22,0.41,1787
18:59:22,42,27,0.12,1185
18:59:27,36,21,0.43,1603
18:59:32,61,21,0.38,1494
18:59:37,30,23,0.45,1071
18:59:42,45,31,0.16,1032
18:59:47,42,25,0.45,1360
18:59:52,66,30,0.32,1361
18:59:57,57,36,0.39,1307
19:00:02,63,35,0.12,1125
19:00:07,62,35,0.46,1669
19:00:12,60,33,0.21,1300
19:00:17,53,28,0.29,1271
19:00:22,56,25,0.27,1157
19:00:27,69,22,0.37,1583
19:00:32,60,37,0.23,1627
19:00:37,45,30,0.16,1443
19:00:42,40,29,0.32,1483
19:00:47,68,28,0.36,1897
19:00:52,66,36,0.46,1867
19:00:57,53,29,0.22,1384
19:01:02,64,25,0.49,1082
19:01:07,33,34,0.44,1130
19:01:12,48,32,0.27,1264
19:01:17,69,23,0.36,1986
19:01:22,54,20,0.13,1984
19:01:27,70,32,0.2,1379
19:01:32,41,23,0.48,1054
19:01:37,57,40,0.27,1975
19:01:42,64,29,0.34,1944
19:01:47,34,21,0.2,1018
19:01:52,58,36,0.38,1682
19:01:57,32,39,0.42,1986
19:02:02,35,24,0.42,1738
19:02:07,38,37,0.29,1440
19:02:12,46,26,0.19,1294
19:02:17,53,28,0.18,1950
19:02:22,55,31,0.18,1324
19:02:27,38,40,0.15,1097
19:02:32,53,30,0.17,1282
19:02:37,54,29,0.44,1054
19:02:42,32,25,0.4,1669
19:02:47,41,28,0.28,1599
19:02:52,33,39,0.31,1272
19:02:57,65,26,0.31,1101
19:03:02,34,22,0.14,1863
19:03:07,31,40,0.42,1312
19:03:12,40,32,0.37,1553
19:03:17,30,32,0.11,1983
19:03:22,47,35,0.36,1936
19:03:27,64,24,0.44,1620
19:03:32,44,39,0.29,1234
19:03:37,52,30,0.23,1595
19:03:42,50,28,0.12,1550
19:03:47,47,24,0.17,1814
19:03:52,70,38,0.19,1542
19:03:57,48,31,0.49,1737
19:04:02,57,30,0.24,1084
19:04:07,67,25,0.4,1849
19:04:12,59,39,0.47,1665
19:04:17,66,34,0.47,1939
19:04:22,62,24,0.21,1210
19:04:27,33,21,0.23,1174
19:04:32,30,22,0.32,1165
19:04:37,51,27,0.48,1631
19:04:42,69,38,0.13,1016
19:04:47,37,26,0.48,1778
19:04:52,36,25,0.22,1641
19:04:57,35,27,0.18,1488
19:05:02,38,27,0.29,1120
19:05:07,45,28,0.22,1063
19:05:12,51,21,0.16,1508
19:05:17,58,32,0.45,1234
19:05:22,32,37,0.12,1319
19:05:27,48,40,0.19,1603
19:05:32,67,36,0.17,1280
19:05:37,59,25,0.44,1843
19:05:42,68,24,0.49,1557
19:05:47,35,28,0.22,1987
19:05:52,62,22,0.11,1199
19:05:57,69,34,0.15,1272
19:06:02,65,33,0.26,1427
19:06:07,65,27,0.18,1469
19:06:12,56,24,0.21,1735
19:06:17,70,31,0.19,1466
19:06:22,55,35,0.18,1262
19:06:27,32,32,0.12,1070
19:06:32,66,20,0.21,1697
19:06:37,51,23,0.12,1002
19:06:42,57,24,0.14,1196
19:06:47,68,21,0.27,1434
19:06:52,33,35,0.2,1130
19:06:57,41,32,0.45,1054
19:07:02,32,35,0.3,1971
19:07:07,58,37,0.37,1837
19:07:12,58,21,0.33,1566
19:07:17,49,40,0.23,1650
19:07:22,34,35,0.32,1351
19:07:27,48,38,0.43,1331
19:07:32,31,24,0.1,1965
19:07:37,49,36,0.11,1682
19:07:42,42,37,0.47,1707
19:07:47,43,34,0.21,1535
19:07:52,52,27,0.23,1003
19:07:57,32,37,0.12,1970
19:08:02,40,32,0.41,1632
19:08:07,46,40,0.45,1755
19:08:12,67,22,0.45,1588
19:08:17,66,37,0.38,1924
19:08:22,63,38,0.5,1512
19:08:27,58,23,0.35,1055
19:08:32,53,39,0.1,1590
19:08:37,52,26,0.31,1942
19:08:42,38,38,0.41,1273
19:08:47,32,40,0.11,1275
19:08:52,59,39,0.34,1451
19:08:57,31,29,0.17,1612
19:09:02,40,36,0.41,1595
19:09:07,47,25,0.15,1540
19:09:12,44,33,0.12,1910
19:09:17,32,20,0.12,1908
19:09:22,55,32,0.18,1952
19:09:27,47,23,0.32,1553
19:09:32,31,27,0.15,1034
19:09:37,44,37,0.31,1650
19:09:42,67,37,0.23,1492
19:09:47,34,23,0.37,1154
19:09:52,69,27,0.19,1081
19:09:57,63,32,0.29,1218
19:10:02,69,25,0.26,1962
19:10:07,64,39,0.17,1057
19:10:12,44,20,0.24,1336
19:10:17,56,33,0.16,1685
19:10:22,34,31,0.47,1986
19:10:27,65,36,0.19,1879
19:10:32,39,36,0.15,1055
19:10:37,54,23,0.19,1073
19:10:42,36,27,0.5,1182
19:10:47,44,34,0.19,1476
19:10:52,37,33,0.2,1910
19:10:57,59,29,0.48,1973
19:11:02,36,39,0.38,1015
19:11:07,51,30,0.27,1556
19:11:12,35,27,0.43,1207
19:11:17,43,27,0.1,1227
19:11:22,59,32,0.39,1486
19:11:27,43,24,0.38,1154
19:11:32,63,29,0.39,1133
19:11:37,49,34,0.2,1245
19:11:42,37,23,0.33,1518
19:11:47,58,40,0.28,1364
19:11:52,48,27,0.1,1084
19:11:57,60,28,0.21,1430
19:12:02,47,24,0.14,1715
19:12:07,47,32,0.46,1159
19:12:12,66,39,0.36,1739
19:12:17,33,36,0.46,1972
19:12:22,67,36,0.11,1315
19:12:27,57,37,0.15,1586
19:12:32,39,31,0.16,1487
19:12:37,34,35,0.46,1294
19:12:42,51,34,0.24,1686
19:12:47,33,20,0.37,1497
19:12:52,39,39,0.33,1556
19:12:57,35,22,0.46,1366
19:13:02,42,35,0.48,1623
19:13:07,42,20,0.39,1508
19:13:12,35,36,0.42,1323
19:13:17,38,32,0.34,1104
19:13:22,40,24,0.12,1706
19:13:27,62,26,0.37,1915
19:13:32,68,30,0.15,1282
19:13:37,55,20,0.15,1052
19:13:42,38,29,0.25,1927
19:13:47,62,29,0.42,1369
19:13:52,55,35,0.23,1857
19:13:57,38,29,0.34,1000
19:14:02,36,35,0.26,1652
19:14:07,62,38,0.11,1847
19:14:12,34,30,0.25,1908
19:14:17,36,25,0.14,1017
19:14:22,30,27,0.16,1385
19:14:27,51,39,0.4,1741
19:14:32,52,39,0.43,1639
19:14:37,56,39,0.38,1751
19:14:42,38,26,0.17,1370
19:14:47,59,33,0.35,1401
19:14:52,70,24,0.14,1815
19:14:57,45,35,0.3,1518
19:15:02,34,39,0.5,1843
19:15:07,40,35,0.38,1253
19:15:12,47,31,0.42,1890
19:15:17,34,25,0.28,1856
19:15:22,59,21,0.19,1663
19:15:27,41,29,0.2,1839
19:15:32,55,20,0.12,1491
19:15:37,30,27,0.21,1526
19:15:42,36,32,0.38,1309
19:15:47,31,26,0.25,1066
19:15:52,47,35,0.31,1413
19:15:57,57,21,0.48,1258
19:16:02,47,31,0.25,1608
19:16:07,32,22,0.38,1388
19:16:12,42,34,0.24,1386
19:16:17,57,39,0.18,1146
19:16:22,65,29,0.3,1347
19:16:27,54,23,0.26,1263
19:16:32,45,29,0.37,1793
19:16:37,54,21,0.22,1896
19:16:42,31,21,0.14,1632
19:16:47,45,34,0.1,1080
19:16:52,56,38,0.18,1279
19:16:57,47,29,0.33,1345
19:17:02,67,37,0.3,1885
19:17:07,65,28,0.48,1245
19:17:12,70,30,0.49,1374
19:17:17,36,27,0.17,1522
19:17:22,38,27,0.15,1841
19:17:27,59,35,0.3,1790
19:17:32,70,28,0.24,1972
19:17:37,36,23,0.19,1924
19:17:42,36,26,0.48,1751
19:17:47,44,27,0.13,1143
19:17:52,57,35,0.39,1561
19:17:57,58,24,0.22,1469
19:18:02,61,36,0.2,1447
19:18:07,54,27,0.19,1781
19:18:12,39,31,0.27,1033
19:18:17,39,27,0.21,1359
19:18:22,47,33,0.49,1666
19:18:27,52,24,0.36,1311
19:18:32,33,38,0.48,1144
19:18:37,55,23,0.27,1357
19:18:42,35,28,0.24,1093
19:18:47,60,30,0.21,1256
19:18:52,58,34,0.46,1101
19:18:57,70,21,0.21,1029
19:19:02,43,37,0.44,1550
19:19:07,40,34,0.26,1296
19:19:12,39,21,0.33,1767
19:19:17,64,25,0.14,1189
19:19:22,70,37,0.4,1467
19:19:27,34,28,0.46,1642
19:19:32,36,24,0.34,1162
19:19:37,49,37,0.46,1719
19:19:42,53,24,0.2,1798
19:19:47,63,37,0.2,1012
19:19:52,63,33,0.29,1308
19:19:57,58,39,0.22,1448
19:20:02,63,35,0.44,1851
19:20:07,43,40,0.42,1472
19:20:12,51,24,0.16,1857
19:20:17,49,30,0.26,1516
19:20:22,35,33,0.16,1931
19:20:27,50,29,0.27,1348
19:20:32,45,36,0.43,1959
19:20:37,66,40,0.28,1647
19:20:42,58,39,0.17,1169
19:20:47,37,29,0.43,1909
19:20:52,44,30,0.46,1486
19:20:57,41,38,0.3,1974
19:21:02,70,24,0.49,1647
19:21:07,57,22,0.45,1996
19:21:12,33,40,0.27,1989
19:21:17,55,27,0.14,1881
19:21:22,31,26,0.23,1672
19:21:27,33,34,0.31,1951
19:21:32,60,36,0.42,1074
19:21:37,57,22,0.45,1259
19:21:42,37,21,0.48,1492
19:21:47,49,28,0.47,1759
19:21:52,60,35,0.34,1180
19:21:57,52,20,0.29,1217
19:22:02,50,25,0.22,1680
19:22:07,52,40,0.19,1103
19:22:12,51,24,0.48,1403
19:22:17,42,39,0.42,1680
19:22:22,39,21,0.33,1797
19:22:27,40,20,0.31,1135
19:22:32,35,20,0.34,1345
19:22:37,57,39,0.33,1786
19:22:42,45,38,0.34,1968
19:22:47,57,36,0.28,1040
19:22:52,45,28,0.38,1176
19:22:57,65,40,0.45,1269
19:23:02,42,26,0.43,1147
19:23:07,55,21,0.1,1176
19:23:12,61,25,0.34,1198
19:23:17,44,23,0.19,1903
19:23:22,57,29,0.34,1536
19:23:27,62,25,0.16,1272
19:23:32,60,38,0.39,1182
19:23:37,32,24,0.26,1845
19:23:42,47,38,0.14,1312
19:23:47,64,30,0.29,1457
19:23:52,33,35,0.24,1314
19:23:57,42,33,0.26,1315
19:24:02,33,24,0.21,1793
19:24:07,50,35,0.36,1331
19:24:12,37,36,0.31,1733
19:24:17,51,27,0.32,1960
19:24:22,34,25,0.47,1760
19:24:27,47,36,0.42,1348
19:24:32,37,31,0.34,1973
19:24:37,54,27,0.35,1197
19:24:42,60,35,0.39,1218
19:24:47,30,22,0.21,1771
19:24:52,61,21,0.33,1216
19:24:57,47,35,0.32,1616
19:25:02,40,30,0.49,1286
19:25:07,65,25,0.44,1309
19:25:12,38,31,0.28,1878
19:25:17,52,30,0.37,1661
19:25:22,37,38,0.29,1969
19:25:27,40,33,0.25,1973
19:25:32,49,39,0.18,1003
19:25:37,51,20,0.29,1878
19:25:42,36,25,0.23,1823
19:25:47,32,30,0.29,1266
19:25:52,69,40,0.11,1781
19:25:57,64,34,0.46,1733
19:26:02,55,32,0.47,1921
19:26:07,62,32,0.17,1231
19:26:12,59,22,0.27,1005
19:26:17,65,28,0.34,1192
19:26:22,58,32,0.31,1464
19:26:27,44,35,0.31,1150
19:26:32,46,24,0.33,1325
